date_time_id,date,week_number,academic_year,fiscal_year,restrictions,start_restrictions,end_restrictions
1,01/01/2024,28,2023-2024,2024,Winter Break; University-Observed Holiday,0,0
2,01/02/2024,28,2023-2024,2024,Winter Term,0,0
3,01/03/2024,28,2023-2024,2024,Winter Term,0,0
4,01/04/2024,28,2023-2024,2024,Winter Term,0,0
5,01/05/2024,28,2023-2024,2024,Winter Term,0,0
6,01/08/2024,29,2023-2024,2024,Winter Term,0,0
7,01/09/2024,29,2023-2024,2024,Winter Term,0,0
8,01/10/2024,29,2023-2024,2024,Winter Term,0,0
9,01/11/2024,29,2023-2024,2024,Winter Term,0,0
10,01/12/2024,29,2023-2024,2024,Winter Term,0,0
11,01/15/2024,30,2023-2024,2024,Winter Term; University-Observed Holiday,0,0
12,01/16/2024,30,2023-2024,2024,Winter Term,0,0
13,01/17/2024,30,2023-2024,2024,Winter Term,0,0
14,01/18/2024,30,2023-2024,2024,Winter Term,0,0
15,01/19/2024,30,2023-2024,2024,Winter Term,0,0
16,01/22/2024,31,2023-2024,2024,Winter Term,0,0
17,01/23/2024,31,2023-2024,2024,Winter Term,0,0
18,01/24/2024,31,2023-2024,2024,Spring Semester,0,0
19,01/25/2024,31,2023-2024,2024,Spring Semester,0,0
20,01/26/2024,31,2023-2024,2024,Spring Semester,0,0
21,01/29/2024,32,2023-2024,2024,Spring Semester,0,0
22,01/30/2024,32,2023-2024,2024,Spring Semester,0,0
23,01/31/2024,32,2023-2024,2024,Spring Semester,0,0
24,02/01/2024,32,2023-2024,2024,Spring Semester,0,0
25,02/02/2024,32,2023-2024,2024,Spring Semester,0,0
26,02/05/2024,33,2023-2024,2024,Spring Semester,0,0
27,02/06/2024,33,2023-2024,2024,Spring Semester,0,0
28,02/07/2024,33,2023-2024,2024,Spring Semester,0,0
29,02/08/2024,33,2023-2024,2024,Spring Semester,0,0
30,02/09/2024,33,2023-2024,2024,Spring Semester,0,0
31,02/12/2024,34,2023-2024,2024,Spring Semester,0,0
32,02/13/2024,34,2023-2024,2024,Spring Semester,0,0
33,02/14/2024,34,2023-2024,2024,Spring Semester,0,0
34,02/15/2024,34,2023-2024,2024,Spring Semester,0,0
35,02/16/2024,34,2023-2024,2024,Spring Semester,0,0
36,02/19/2024,35,2023-2024,2024,Spring Semester,0,0
37,02/20/2024,35,2023-2024,2024,Spring Semester,0,0
38,02/21/2024,35,2023-2024,2024,Spring Semester,0,0
39,02/22/2024,35,2023-2024,2024,Spring Semester,0,0
40,02/23/2024,35,2023-2024,2024,Spring Semester,0,0
41,02/26/2024,36,2023-2024,2024,Spring Semester,0,0
42,02/27/2024,36,2023-2024,2024,Spring Semester,0,0
43,02/28/2024,36,2023-2024,2024,Spring Semester,0,0
44,02/29/2024,36,2023-2024,2024,Spring Semester,0,0
45,03/01/2024,36,2023-2024,2024,Spring Semester,0,0
46,03/04/2024,37,2023-2024,2024,Spring Semester,0,0
47,03/05/2024,37,2023-2024,2024,Spring Semester,0,0
48,03/06/2024,37,2023-2024,2024,Spring Semester,0,0
49,03/07/2024,37,2023-2024,2024,Spring Semester,0,0
50,03/08/2024,37,2023-2024,2024,Spring Semester,0,0
51,03/11/2024,38,2023-2024,2024,Spring Semester,0,0
52,03/12/2024,38,2023-2024,2024,Spring Semester,0,0
53,03/13/2024,38,2023-2024,2024,Spring Semester,0,0
54,03/14/2024,38,2023-2024,2024,Spring Semester,0,0
55,03/15/2024,38,2023-2024,2024,Spring Semester,0,0
56,03/18/2024,39,2023-2024,2024,Spring Break; University-Observed Holiday,0,0
57,03/19/2024,39,2023-2024,2024,Spring Break; University-Observed Holiday,0,0
58,03/20/2024,39,2023-2024,2024,Spring Break,0,0
59,03/21/2024,39,2023-2024,2024,Spring Break,0,0
60,03/22/2024,39,2023-2024,2024,Spring Break,0,0
61,03/25/2024,40,2023-2024,2024,Spring Semester,0,0
62,03/26/2024,40,2023-2024,2024,Spring Semester,0,0
63,03/27/2024,40,2023-2024,2024,Spring Semester,0,0
64,03/28/2024,40,2023-2024,2024,Spring Semester,0,0
65,03/29/2024,40,2023-2024,2024,Spring Semester,0,0
66,04/01/2024,41,2023-2024,2024,Spring Semester,0,0
67,04/02/2024,41,2023-2024,2024,Spring Semester,0,0
68,04/03/2024,41,2023-2024,2024,Spring Semester,0,0
69,04/04/2024,41,2023-2024,2024,Spring Semester,0,0
70,04/05/2024,41,2023-2024,2024,Spring Semester,0,0
71,04/08/2024,42,2023-2024,2024,Spring Semester,0,0
72,04/09/2024,42,2023-2024,2024,Spring Semester,0,0
73,04/10/2024,42,2023-2024,2024,Spring Semester,0,0
74,04/11/2024,42,2023-2024,2024,Spring Semester,0,0
75,04/12/2024,42,2023-2024,2024,Spring Semester,0,0
76,04/15/2024,43,2023-2024,2024,Spring Semester,0,0
77,04/16/2024,43,2023-2024,2024,Spring Semester,0,0
78,04/17/2024,43,2023-2024,2024,Spring Semester,0,0
79,04/18/2024,43,2023-2024,2024,Spring Semester,0,0
80,04/19/2024,43,2023-2024,2024,Spring Semester,0,0
81,04/22/2024,44,2023-2024,2024,Spring Semester,0,0
82,04/23/2024,44,2023-2024,2024,Spring Semester,0,0
83,04/24/2024,44,2023-2024,2024,Spring Semester,0,0
84,04/25/2024,44,2023-2024,2024,Spring Semester,0,0
85,04/26/2024,44,2023-2024,2024,Spring Semester,0,0
86,04/29/2024,45,2023-2024,2024,Spring Semester,0,0
87,04/30/2024,45,2023-2024,2024,Spring Semester,0,0
88,05/01/2024,45,2023-2024,2024,Spring Semester,0,0
89,05/02/2024,45,2023-2024,2024,Spring Semester,0,0
90,05/03/2024,45,2023-2024,2024,Spring Semester,0,0
91,05/06/2024,46,2023-2024,2024,Spring Semester,0,0
92,05/07/2024,46,2023-2024,2024,Spring Semester,0,0
93,05/08/2024,46,2023-2024,2024,Spring Semester,0,0
94,05/09/2024,46,2023-2024,2024,Spring Semester,0,0
95,05/10/2024,46,2023-2024,2024,"Spring Study Days, Final Exams, and Commencement",0,0
96,05/13/2024,47,2023-2024,2024,"Spring Study Days, Final Exams, and Commencement",0,0
97,05/14/2024,47,2023-2024,2024,"Spring Study Days, Final Exams, and Commencement",0,0
98,05/15/2024,47,2023-2024,2024,"Spring Study Days, Final Exams, and Commencement",0,0
99,05/16/2024,47,2023-2024,2024,"Spring Study Days, Final Exams, and Commencement",0,0
100,05/17/2024,47,2023-2024,2024,"Spring Study Days, Final Exams, and Commencement",0,0
101,05/20/2024,48,2023-2024,2024,"Spring Study Days, Final Exams, and Commencement",0,0
102,05/21/2024,48,2023-2024,2024,"Spring Study Days, Final Exams, and Commencement",0,0
