lot_id,lot_name,permit,enforcement_days,posted_restrictions,enforcement_start,enforcement_end
1,A,ADA Placard,Weekends,Restricted after 4PM,0:00:00,0:00:00
2,A,Surface Lot,Weekdays,Restricted after 4PM,7:00:00,16:00:00
3,A,No Permit,Weekdays,Restricted after 4PM,16:00:00,7:00:00
4,AA,No Permit,Weekends,Special Restrictions,0:00:00,0:00:00
5,AA,Validation Code/Meter Permit,Weekdays,Special Restrictions,7:00:00,16:00:00
6,AA,Basketball Permit,Weekdays,Special Restrictions,16:00:00,7:00:00
7,B,Hearing and Speech Clinic Permit,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
8,BB,Event Attendee (Reserved parking provided),Weekends,Special Restrictions,0:00:00,0:00:00
9,BB,Event Attendee (Parking not provided),Weekdays,Special Restrictions,7:00:00,16:00:00
10,BB,Visitor After Hours Permit,Weekdays,Special Restrictions,16:00:00,7:00:00
11,C1,Time & Materials Permit,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
12,C2,Service Permit,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
13,CC,Annual FS Permit,Weekdays,Unrestricted after 4PM,7:00:00,16:00:00
14,DD,Semester FS Permit,Weekends,Restricted after 4PM,0:00:00,0:00:00
15,DD,FS Bundle Pack (2 Day/Week),Weekdays,Restricted after 4PM,7:00:00,16:00:00
16,DD,FS Bundle Pack (3 Day/Week),Weekdays,Restricted after 4PM,16:00:00,7:00:00
17,E,ADA Placard Only,Weekends,Special Restrictions,0:00:00,0:00:00
18,E,Annual FS Permit + ADA,Weekdays,Special Restrictions,7:00:00,16:00:00
19,E,Semester FS Permit + ADA,Weekdays,Special Restrictions,16:00:00,7:00:00
20,ERC,Semester FS Permit + Medical Permit,Always,Visitor,7:00:00,0:00:00
21,F,Annual FS Permit + All Campus,Weekdays,24-Hour restricted,16:00:00,7:00:00
22,F,UMGC Permit,Weekends,24-Hour restricted,0:00:00,0:00:00
23,F,No Permit,Always,24-Hour restricted,0:00:00,0:00:00
