restriction_id,lot_name,restrictions,required,parking restrictions,overflow_lot
1,A,Restricted after 4PM,Gated; 7am - 4pm Mon. - Fri. valid lot # campus parking reg. required. Only F/S reg. allowed at all others times.,Only faculty/staff with a valid CLPR/permit may park from 4pm - 7am Mon. - Fri. as well as all day on Saturday and Sunday.,
2,AA,Special Restrictions,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,
3,B,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
4,BB,Special Restrictions,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,
5,C1,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
6,C2,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
7,CC,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
8,DD,Restricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required. Only F/S reg. allowed at all others times.,Only faculty/staff with a valid CLPR/permit may park from 4pm - 7am Mon. - Fri. as well as all day on Saturday and Sunday.,
9,E,Special Restrictions,,,
10,ERC,Visitor,"7am - 12am Mon. - Fri.; Payment required unless otherwise posted. $4/hr, $20/daily max",,
11,F,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
12,FF,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
13,G,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
14,GG,Restricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required. Only F/S reg. allowed at all others times.,Only faculty/staff with a valid CLPR/permit may park from 4pm - 7am Mon. - Fri. as well as all day on Saturday and Sunday.,
15,GG2,Special Restrictions,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,
16,HC,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
17,HH,Restricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required. Only F/S reg. allowed at all others times.,Only faculty/staff with a valid CLPR/permit may park from 4pm - 7am Mon. - Fri. as well as all day on Saturday and Sunday.,
18,II,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
19,J,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
20,JJ1,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
21,JJ3,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
22,K,Miscellaneous Permissions,Unrestricted after 4PM (Lot K5/ K7): 7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.; 24-Hour restricted (Lot K1): 24 hours a day 7 days a week valid lot # campus parking reg. required.,,Faculty/Staff Overflow Parking Lot for Registered Parkers
23,KK,Special Restrictions,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. ,,
24,L,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
25,LL,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
26,Lot 10a,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
27,Lot 11b,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,Faculty/Staff Overflow Parking Lot for Registered Parkers
28,Lot 15,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
29,Lot 16a,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
30,Lot 16b,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
31,Lot 16f,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
32,Lot 17a,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
33,Lot 17b,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
34,Lot 17c,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
35,Lot 17d,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
36,Lot 19,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
37,Lot 1b,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,Faculty/Staff Overflow Parking Lot for Registered Parkers
38,Lot 1c,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,Faculty/Staff Overflow Parking Lot for Registered Parkers
39,Lot 1d,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,Faculty/Staff Overflow Parking Lot for Registered Parkers
40,Lot 1e,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,Faculty/Staff Overflow Parking Lot for Registered Parkers
41,Lot 1f,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,Faculty/Staff Overflow Parking Lot for Registered Parkers
42,Lot 2a,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
43,Lot 2b,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
44,Lot 2f,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
45,Lot 3 (NEW),24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
46,Lot 3 (OLD),24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,Faculty/Staff Overflow Parking Lot for Registered Parkers
47,Lot 4a,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,"Faculty/Staff, Student Overflow Parking Lot for Registered Parkers"
48,Lot 4b,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,"Faculty/Staff, Student Overflow Parking Lot for Registered Parkers"
49,Lot 4h,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,"Faculty/Staff, Student Overflow Parking Lot for Registered Parkers"
50,Lot 4k,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,"Faculty/Staff, Student Overflow Parking Lot for Registered Parkers"
51,Lot 4m,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,"Faculty/Staff, Student Overflow Parking Lot for Registered Parkers"
52,Lot 4n,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,"Faculty/Staff, Student Overflow Parking Lot for Registered Parkers"
53,Lot 6,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,Faculty/Staff Overflow Parking Lot for Registered Parkers
54,Lot 8,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
55,Lot 9b,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,Faculty/Staff Overflow Parking Lot for Registered Parkers
